"sticky-date","text-content","ReactionStaticEmoji src","P2FqNJAi","ReactionStaticEmoji src 2","P2FqNJAi 2","ReactionStaticEmoji src 3","P2FqNJAi 3","message-views","message-time","svg-appendix href","ReactionStaticEmoji src 4","full-media src","full-media src 2","thumbnail src","emoji src","message-media-duration","text-entity-link","a8dMNkh3 src","gYSfUe37 src","a8dMNkh3 src 2","gYSfUe37 src 2","a8dMNkh3 src 3","gYSfUe37 src 3","text-entity-link href","label","text-content 2","text-content 3","text-content 4","text-content 6","text-content 7","text-content 9","gYSfUe37 src 5","ReactionStaticEmoji src 5","P2FqNJAi 4"
"August 8, 2024","Первый постБуду показывать и рассказывать на своем примере как создать миниапку в телеграм","blob:https://web.telegram.org/044fcf21-b9a2-4d95-8416-17451d3134d7","5","blob:https://web.telegram.org/e845ba87-97f8-4e9d-9b3c-90872e3aa86a","2","blob:https://web.telegram.org/89b59bfa-1342-40ab-8670-19ed8f813537","2","200","02:18","[object Object]","blob:https://web.telegram.org/35ac6346-c0ba-49f1-b295-42ed0207cc95","","","","","","","","","","","","","","","","","","","","","","",""
"January 5","Крутой функционал для вашего приложения!Пользователь крутит колесо, разделенное на секторы с различными призами. Результат определяется случайным образом.Варианты использования: Розыгрыш скидок, промокодов, бонусов. Выдача виртуальной валюты или игровых предметов. Получение дополнительных попыток или жизней в игре.Возможности:  Добавление любых призов — можно вводить любые виды призов, скидки, бонусы, физические товары или виртуальные награды. Различные скины для рулетки— любой внешний вид рулетки с помощью кастомных скинов, чтобы сделать их более привлекательными и соответствующими бренду или тематике акции. Настройка количества попыток “кручения барабана”— установите ограничение на количество результатов для каждого пользователя. Выдача билетов за действие в приложении — (например, регистрация, участие в опросе) пользователи получают билет, который дает право на вращение рулетки. Или пользователь получает монеты за действия - а каждое вращение стоит определенной суммы монет. Примеры:  Викторины: за правильные ответы пользователи получают шанс повернуть колесо и выиграть жизнь, подсказки и пропуски. Магазин: при входе в магазин выдается билет, по которому можно ""Крутить колесо"" и выиграть скидки, доставку или подарки.","blob:https://web.telegram.org/89b59bfa-1342-40ab-8670-19ed8f813537","2","blob:https://web.telegram.org/896eb59a-33a7-4145-ad34-a6d857a12b5c","1","blob:https://web.telegram.org/d5405e91-bb0b-4416-a78e-e90d932c13d7","1","96","07:01","[object Object]","blob:https://web.telegram.org/35ac6346-c0ba-49f1-b295-42ed0207cc95","blob:https://web.telegram.org/a32dd3f3-21c0-4769-a27c-90ddd6d54de4","https://web.telegram.org/a/progressive/document5463215610445976825","blob:https://web.telegram.org/3c49e36b-0f33-4583-8461-aee15fe8115d","https://web.telegram.org/a/img-apple-64/1f539.png","","","","","","","","","","","","","","","","","","",""
"January 6","","blob:https://web.telegram.org/35ac6346-c0ba-49f1-b295-42ed0207cc95","2","blob:https://web.telegram.org/89b59bfa-1342-40ab-8670-19ed8f813537","","","","95","02:11","","","https://web.telegram.org/a/progressive/document5465290341642951323","","blob:https://web.telegram.org/0a1ea7e2-61ce-4a50-a23d-3e773075ca95","","1:25","","","","","","","","","","","","","","","","","",""
"January 7","Интернет магазинРефсистема- бонус за приглашениеОплата переводом на карту с подгрузкой чекаДоставка","blob:https://web.telegram.org/89b59bfa-1342-40ab-8670-19ed8f813537","1","blob:https://web.telegram.org/35ac6346-c0ba-49f1-b295-42ed0207cc95","","","","128","edited 01:26","[object Object]","","https://web.telegram.org/a/progressive/document5467376140970648242","","blob:https://web.telegram.org/5562004e-d64b-477c-ab3e-445de0afec58","","0:59","#Магазин","https://web.telegram.org/a/blank.8dd283bceccca95a48d8.png","blob:https://web.telegram.org/905d8bc5-49a3-48c5-885c-be4def361c6c","https://web.telegram.org/a/blank.8dd283bceccca95a48d8.png","blob:https://web.telegram.org/905d8bc5-49a3-48c5-885c-be4def361c6c","https://web.telegram.org/a/blank.8dd283bceccca95a48d8.png","blob:https://web.telegram.org/905d8bc5-49a3-48c5-885c-be4def361c6c","https://t.me/Narstore_bot/market","","","","","","","","","",""
"January 8","Всем привет. Хочу затестировать бизнес идею ""Доставка в маленьком населенном пункте""Инструмент для теста конечно же миниап приложение. Понимаю, что Яндекс, деливери, самокат, профи и тд.. держат нишу, но тест он и есть тест Кто если не я его сделаю! Делаю TMAРекламаКлиенты","blob:https://web.telegram.org/896eb59a-33a7-4145-ad34-a6d857a12b5c","3","blob:https://web.telegram.org/89b59bfa-1342-40ab-8670-19ed8f813537","3","blob:https://web.telegram.org/d5405e91-bb0b-4416-a78e-e90d932c13d7","3","101","01:49","[object Object]","blob:https://web.telegram.org/35ac6346-c0ba-49f1-b295-42ed0207cc95","","","","","","","https://web.telegram.org/a/blank.8dd283bceccca95a48d8.png","blob:https://web.telegram.org/905d8bc5-49a3-48c5-885c-be4def361c6c","https://web.telegram.org/a/blank.8dd283bceccca95a48d8.png","blob:https://web.telegram.org/905d8bc5-49a3-48c5-885c-be4def361c6c","https://web.telegram.org/a/blank.8dd283bceccca95a48d8.png","blob:https://web.telegram.org/905d8bc5-49a3-48c5-885c-be4def361c6c","","","","","","","","","","",""
"January 13","Приложение запилил, рекламу закупил. Клиентов пока нет)Возможно не так актуально всё - таки. Все бизнесы кое как, но организовали доставку своих продуктов. Ну ... Поглядим, понаблюдаем","blob:https://web.telegram.org/896eb59a-33a7-4145-ad34-a6d857a12b5c","1","","","","","108","23:08","[object Object]","blob:https://web.telegram.org/35ac6346-c0ba-49f1-b295-42ed0207cc95","blob:https://web.telegram.org/ae840eb8-64ab-4faf-9afb-200239b6065b","blob:https://web.telegram.org/50cd0038-0147-4ebe-be6f-fef62233cfe7","","","","","","","","","","","","","","","","","","","","",""
"January 14","","blob:https://web.telegram.org/896eb59a-33a7-4145-ad34-a6d857a12b5c","1","blob:https://web.telegram.org/89b59bfa-1342-40ab-8670-19ed8f813537","1","blob:https://web.telegram.org/35ac6346-c0ba-49f1-b295-42ed0207cc95","","127","20:19","[object Object]","","","","","","","https://youtube.com/shorts/qWqs3UEt8bQ?feature=shared","","","","","","","https://youtube.com/shorts/qWqs3UEt8bQ?feature=shared","","","","","","","","","",""
"January 29","Привет, мои 10 подписчиков) (на память цифру оставлю)Тест с доставкой в маленьком населенном пункте окончен. По финансам результаты нулевые. Что было сделано:-Миниапка-Реклама в 3 местных пабликахБольше ничего не делалось. 42 человека посетило приложение, из них 4 написало в поддержку - проявили интерес, 1 хотел устроиться на работу.Услуга - доставка с ПВЗ wb,ozon не стала флагманом.Вот такой тест, если есть предложения - пишите какую нишу еще затестить","blob:https://web.telegram.org/896eb59a-33a7-4145-ad34-a6d857a12b5c","1","blob:https://web.telegram.org/89b59bfa-1342-40ab-8670-19ed8f813537","1","blob:https://web.telegram.org/d5405e91-bb0b-4416-a78e-e90d932c13d7","1","83","edited 09:48","[object Object]","blob:https://web.telegram.org/35ac6346-c0ba-49f1-b295-42ed0207cc95","","","","","","","","","","","","","","comments","","","","","","","","",""
"February 2","Личное приложение помогает выделиться среди конкурентов и позиционирует эксперта как профессионала с собственной экосистемой.Пользователи ассоциируют приложение напрямую с экспертом, что усиливает лояльность.Mini App позволяет объединить все каналы коммуникации в одном месте: консультации, курсы, тесты, чаты и т.д.Эксперт может создавать интерактивный контент, который сложно реализовать через обычные соцсети или Telegram-каналы.Встроенные функции приложения могут автоматизировать рутинные задачи: сбор заявок, опросы, расписание встреч, оплату услуг и многое другое.Через Mini App можно предлагать платные услуги: подписки на контент, онлайн-курсы, консультации, доступ к эксклюзивным материалам.Интеграция платежных систем (например, prodamus) делает процесс оплаты максимально простым.Mini App работает внутри Telegram, что увеличивает шансы привлечь новых клиентов.Интерактивность и удобство использования способствуют более высокому уровню вовлеченности.","blob:https://web.telegram.org/35ac6346-c0ba-49f1-b295-42ed0207cc95","2","blob:https://web.telegram.org/896eb59a-33a7-4145-ad34-a6d857a12b5c","3","blob:https://web.telegram.org/89b59bfa-1342-40ab-8670-19ed8f813537","1","84","edited 21:57","[object Object]","blob:https://web.telegram.org/35ac6346-c0ba-49f1-b295-42ed0207cc95","blob:https://web.telegram.org/66acfe19-8bf0-4238-8f01-4e18a646500c","blob:https://web.telegram.org/ba7fd5a3-4714-4ea6-bb51-7a3134f62fc6","","","","https://t.me/ResumeSeobot/app","https://web.telegram.org/a/blank.8dd283bceccca95a48d8.png","blob:https://web.telegram.org/ef2ef6dc-c446-4f5b-a09b-9e4b2afc4f84","https://web.telegram.org/a/blank.8dd283bceccca95a48d8.png","blob:https://web.telegram.org/ef2ef6dc-c446-4f5b-a09b-9e4b2afc4f84","https://web.telegram.org/a/blank.8dd283bceccca95a48d8.png","blob:https://web.telegram.org/ef2ef6dc-c446-4f5b-a09b-9e4b2afc4f84","https://t.me/ResumeSeobot/app","Leave a comment","Зачем эксперту свое miniapp приложение?","Укрепление персонального бренда","Удобство взаимодействия с аудиторией","Это экономит время эксперта и повышает удобство для клиентов.","Новые возможности монетизации","Пересобрал свое личное мини приложение. Оно как образец инструмента, которым может быть вооружен эксперт. Это профессионалы в своей нише, которые могут дать информацию, консультацию, необходимый набор знаний для достижения результата!Например: психологи, тренеры, маркетологи, юристы, разработчики, репетиторы и т.дНо уже в нем есть базовый функционал, готовый к бою!Реферальная системаОплата продуктов(пока перевод на карту, с первых продаж подключу продамус)Автоматическая выдача персональной ссылки на приватную группу с материаламиВозможность создавать отдельную посадку для определенного УТП, с отслеживанием кто пришелНачисление баланса и вывод реф.наградКатегорирование пользователей и рассылка новостей в бот","blob:https://web.telegram.org/ef2ef6dc-c446-4f5b-a09b-9e4b2afc4f84","blob:https://web.telegram.org/2c5024f8-a179-4adf-be49-672fc1338d0d","1"
"February 7","","","","","","","","","","","","","","","https://web.telegram.org/a/img-apple-64/1f381.png","","","","","","","","","","","Всем привет! С ценностями еще поработаю) Но уже: С помощью Telegram Mini App помогу• Собор контактов клиентов• Цена привлечения лида очень низкая, иногда даже бесплатно!• Возможность работать с теми,кто просто интересовался :• Отсутствие регистрации, чтобы клиент оставил заявку• Автоматизацию рутинных процессов• Ваш упакованный сайт-визитку в телеграм (открывается с любого устройства)• Возможность автоматически продавать свои инфопродукты Розыгрыш до 21.02.25:• Бесплатная разработка Mini App под ваши задачи• + Хостинг на 1 месяц в подарок Быть экспертом в любой нише В комментариях к этому посту описать какие процессы хотели бы автоматизировать и наладить в режиме одного окна","","","","экспертам различных ниш упростить:","Подарок участникам канала!","","blob:https://web.telegram.org/896eb59a-33a7-4145-ad34-a6d857a12b5c","2"
